"","k_val","calibration_r2","minimum","maximum","N","rep_n","c_r2_bd","min_bd","max_bd","c_r2_log","min_log","max_log","c_r2_log_int","min_log_int","max_log_int","default_diff","log_diff","log_int_diff","default_log_diff","default_log_int_diff"
"332",3.2,0.0130558204037573,0.181054906406565,0.67424276518167,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0689733131020038,0.136633714657078,-0.161615181210635,0.205607027759081,-0.0926418681086307
"333",3.3,0.0227217288662348,0.188068375827908,0.672768357572438,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0593074046395263,0.146299623119555,-0.151949272748157,0.205607027759081,-0.0926418681086307
"334",3.4,0.0409899366657701,0.189640517468935,0.661645498780465,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.041039196839991,0.16456783091909,-0.133681064948622,0.205607027759081,-0.0926418681086307
"335",3.5,0.033650684288731,0.196243629055231,0.663024961027347,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0483784492170302,0.157228578542051,-0.141020317325661,0.205607027759081,-0.0926418681086307
"336",3.6,0.0488149684787441,0.198440871173763,0.654744852119315,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.033214165027017,0.172392862732064,-0.125856033135648,0.205607027759081,-0.0926418681086307
"337",3.7,0.0626243181361036,0.205322862088011,0.649960494399433,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0194048153696575,0.186202212389424,-0.112046683478288,0.205607027759081,-0.0926418681086307
"338",3.8,0.0552830265040389,0.210895914864554,0.644308744080273,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.0267461070017222,0.178860920757359,-0.119387975110353,0.205607027759081,-0.0926418681086307
"339",3.9,0.077686650677019,0.213293752246846,0.641626338345506,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,-0.00434248282874217,0.201264544930339,-0.0969843509373729,0.205607027759081,-0.0926418681086307
"340",4,0.0837934443951817,0.21877182097844,0.632615475822866,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.00176431088942053,0.207371338648502,-0.0908775572192102,0.205607027759081,-0.0926418681086307
"341",4.1,0.0868688052252213,0.222105813396491,0.62942726502158,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.0048396717194602,0.210446699478542,-0.0878021963891705,0.205607027759081,-0.0926418681086307
"342",4.2,0.092793006984817,0.231559399572432,0.62183946712394,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.0107638734790558,0.216370901238137,-0.0818779946295749,0.205607027759081,-0.0926418681086307
"343",4.3,0.0895884634072586,0.227848634931344,0.619894808768085,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.00755932990149744,0.213166357660579,-0.0850825382071333,0.205607027759081,-0.0926418681086307
"344",4.4,0.0981000151448106,0.234680182459862,0.615105789777399,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.0160708816390495,0.221677909398131,-0.0765709864695813,0.205607027759081,-0.0926418681086307
"345",4.5,0.0988050675561669,0.238099419933579,0.612381835776686,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.0167759340504058,0.222382961809487,-0.0758659340582249,0.205607027759081,-0.0926418681086307
"346",4.6,0.106237587667138,0.24391458245639,0.606916169883336,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.024208454161377,0.229815481920458,-0.0684334139472538,0.205607027759081,-0.0926418681086307
"347",4.7,0.10952506084112,0.246327847284006,0.601412469435412,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.0274959273353587,0.23310295509444,-0.0651459407732721,0.205607027759081,-0.0926418681086307
"348",4.8,0.112417709990667,0.250770752407082,0.596728841155739,200,1,0.0820291335057611,0.394745174901002,0.507658127458395,-0.12357789425332,0.100247160096703,0.775977881144626,0.174671001614392,0.0727822161170293,0.863584090563212,0.0303885764849061,0.235995604243988,-0.0622532916237246,0.205607027759081,-0.0926418681086307
